Line No.,Order Code,RoHS Compliant?,Notes,Qty,Manufacturer Part Number,Manufacturer / Description,Availability,Unit Price,Line Price,Discount Price,
1,1702632,YES,,30.0,2466,"KEYSTONE BATTERY HOLDER KEYSTONE-2466-BATTERY HOLDER",1288,0.72,21.63,,
2,8454396,YES,,30.0,TLC551CP,"TEXAS INSTRUMENTS IC, TIMER, SMD, PDIP8, 551 TEXAS INSTRUMENTS-TLC551CP-IC, TIMER, SMD, PDIP8, 551",130,1.15,34.50,,
3,2401819RL,YES,,150.0,MCMF006FF3003A50,"MULTICOMP RESISTOR, METAL FILM, 300KOHM, 1%, AXIAL MULTICOMP-MCMF006FF3003A50-RESISTOR, METAL FILM, 300KOHM, 1%, AXIAL",20150,0.01,1.58,,
4,2401780,YES,,150.0,MCMF006FF1002A50,"MULTICOMP RESISTOR, METAL FILM, 10KOHM, 1%, AXIAL MULTICOMP-MCMF006FF1002A50-RESISTOR, METAL FILM, 10KOHM, 1%, AXIAL",94749,0.01,1.68,,
5,2401700RL,YES,,150.0,MCMF006FF100JA50,"MULTICOMP RESISTOR, METAL FILM, 10 OHM, 1%, AXIAL MULTICOMP-MCMF006FF100JA50-RESISTOR, METAL FILM, 10 OHM, 1%, AXIAL",11700,0.01,1.68,,
6,1186248,YES,,150.0,MCF 0.25W 10M,"MULTICOMP RESISTOR, 0.25W 5% 10M MULTICOMP-MCF 0.25W 10M-RESISTOR, 0.25W 5% 10M",12821,0.01,2.00,,
7,2101806,YES,Replacement for 2N3904,50.0,MPSA92G,"ON SEMICONDUCTOR TRANSISTOR, PNP, 300V, 0.5A, TO92 ON SEMICONDUCTOR-MPSA92G-TRANSISTOR, PNP, 300V, 0.5A, TO92",9562,0.07,3.59,,
8,1141791,YES,,50.0,F681K33Y5RN6UK5R,"VISHAY BC COMPONENTS CAP, CER, Y5R, 680PF, 1KV, RAD VISHAY BC COMPONENTS-F681K33Y5RN6UK5R-CAP, CER, Y5R, 680PF, 1KV, RAD",15536,0.08,4.01,,
9,1902882,YES,,50.0,MCGPR10V107M5X11,"MULTICOMP CAP, ALU ELEC, 100UF, 10V, RAD MULTICOMP-MCGPR10V107M5X11-CAP, ALU ELEC, 100UF, 10V, RAD",2152,0.03,1.27,,
10,2395773,YES,,50.0,MC0805B104K500A5.08MM,"MULTICOMP CAP, MLCC, 0.1UF, 50V, X7R, RAD MULTICOMP-MC0805B104K500A5.08MM-CAP, MLCC, 0.1UF, 50V, X7R, RAD",13700,0.02,0.99,,
11,2215082,YES,,40.0,KXG1212,"KINGSTATE BUZZER, MAGNETIC, PIN, TRANSDUCER KINGSTATE-KXG1212-BUZZER, MAGNETIC, PIN, TRANSDUCER",3483,0.45,18.00,,

,,,,,,,Sub Total,90.91,,,
,,,,,,,Goods Total,90.91,,,
,,,,,,,Basic Delivery,0.00,,,
,,,,,,,VAT,Unknown,,,
,,,,,,,Total,90.91,,,
